date,latitude,longitude,precipitacao_mm
2017-05-19,-31.5,289.0,0.0
2017-05-20,-31.5,289.0,0.0
2017-05-21,-31.5,289.0,0.0
2017-05-22,-31.5,289.0,0.0
2017-05-23,-31.5,289.0,6.4151998
2017-05-24,-31.5,289.0,13.521599
2017-05-25,-31.5,289.0,22.356
2017-05-26,-31.5,289.0,0.0432
2017-05-27,-31.5,289.0,0.0
2017-05-28,-31.5,289.0,0.0
2017-05-29,-31.5,289.0,0.0
2017-05-30,-31.5,289.0,0.0
2017-05-31,-31.5,289.0,0.0
2017-06-01,-31.5,289.0,0.0
2017-06-02,-31.5,289.0,0.0
2017-06-03,-31.5,289.0,0.0
2017-06-04,-31.5,289.0,0.0
2017-06-05,-31.5,289.0,0.0
2017-06-06,-31.5,289.0,0.0
2017-06-07,-31.5,289.0,1.9008
2017-06-08,-31.5,289.0,1.2096
2017-06-09,-31.5,289.0,0.0
2017-06-10,-31.5,289.0,0.0
2017-06-11,-31.5,289.0,0.0
2017-06-12,-31.5,289.0,0.0
2017-06-13,-31.5,289.0,0.0
2017-06-14,-31.5,289.0,0.0
2017-06-15,-31.5,289.0,0.0
2017-06-16,-31.5,289.0,39.895203
2017-06-17,-31.5,289.0,39.614403
2017-06-18,-31.5,289.0,0.0
2017-06-19,-31.5,289.0,0.0
2017-06-20,-31.5,289.0,0.0
2017-06-21,-31.5,289.0,0.0
2017-06-22,-31.5,289.0,0.25919998
2017-06-23,-31.5,289.0,0.324
2017-06-24,-31.5,289.0,0.0
2017-06-25,-31.5,289.0,0.0
2017-06-26,-31.5,289.0,10.411201
2017-06-27,-31.5,289.0,1.0368
2017-06-28,-31.5,289.0,0.0
2017-06-29,-31.5,289.0,0.0
2017-06-30,-31.5,289.0,0.0
2017-07-01,-31.5,289.0,0.0
2017-07-02,-31.5,289.0,0.0
2017-07-03,-31.5,289.0,0.0
2017-07-04,-31.5,289.0,8.1
2017-07-05,-31.5,289.0,0.0
2017-07-06,-31.5,289.0,0.0
2017-07-07,-31.5,289.0,0.0
2017-07-08,-31.5,289.0,0.0
2017-07-09,-31.5,289.0,0.0
2017-07-10,-31.5,289.0,0.0
2017-07-11,-31.5,289.0,0.0
2017-07-12,-31.5,289.0,0.0
2017-07-13,-31.5,289.0,0.0
2017-07-14,-31.5,289.0,0.0
2017-07-15,-31.5,289.0,12.441601
2017-07-16,-31.5,289.0,0.0
2017-07-17,-31.5,289.0,0.0
2017-07-18,-31.5,289.0,0.0
2017-07-19,-31.5,289.0,0.0
2017-07-20,-31.5,289.0,0.0
2017-07-21,-31.5,289.0,0.0
2017-07-22,-31.5,289.0,0.0
2017-07-23,-31.5,289.0,0.0
2017-07-24,-31.5,289.0,0.0
2017-07-25,-31.5,289.0,0.0
2017-07-26,-31.5,289.0,0.0
2017-07-27,-31.5,289.0,0.0
2017-07-28,-31.5,289.0,0.0
2017-07-29,-31.5,289.0,0.0
2017-07-30,-31.5,289.0,0.0
2017-07-31,-31.5,289.0,0.0
2017-08-01,-31.5,289.0,0.3024
2017-08-02,-31.5,289.0,0.0
2017-08-03,-31.5,289.0,0.0
2017-08-04,-31.5,289.0,0.0
2017-08-05,-31.5,289.0,0.0
2017-08-06,-31.5,289.0,0.0
2017-08-07,-31.5,289.0,0.0
2017-08-08,-31.5,289.0,0.0
2017-08-09,-31.5,289.0,2.1816
2017-08-10,-31.5,289.0,18.316801
2017-08-11,-31.5,289.0,16.7832
2017-08-12,-31.5,289.0,2.8295999
2017-08-13,-31.5,289.0,0.0
2017-08-14,-31.5,289.0,0.0
2017-08-15,-31.5,289.0,0.0
2017-08-16,-31.5,289.0,0.0
2017-08-17,-31.5,289.0,0.0
2017-08-18,-31.5,289.0,0.0
2017-08-19,-31.5,289.0,2.4839997
2017-08-20,-31.5,289.0,0.0
2017-08-21,-31.5,289.0,0.0
